Place_Id,Eco_Friendliness,Renewable_Energy_Usage,Waste_Management,Public_Transport_Access,Cultural_Preservation_Effort
1,High,False,Excellent,Low,Strong
2,High,False,Good,Moderate,Strong
3,Medium,False,Good,High,Strong
4,Low,True,Excellent,Moderate,Strong
5,Low,True,Poor,Moderate,Moderate
6,Medium,False,Excellent,Low,Weak
7,Low,True,Poor,High,Weak
8,High,True,Poor,Moderate,Moderate
9,Medium,True,Excellent,Moderate,Moderate
10,Medium,False,Good,Low,Weak
11,Low,True,Good,Low,Moderate
12,High,True,Poor,Moderate,Strong
13,Low,True,Good,High,Moderate
14,Medium,False,Good,Low,Moderate
15,Low,True,Good,Low,Strong
16,Low,True,Good,Low,Strong
17,High,False,Excellent,Low,Strong
18,Low,False,Good,Low,Moderate
19,Medium,True,Good,High,Moderate
20,Low,False,Excellent,Low,Strong
21,Low,False,Good,Moderate,Strong
22,Low,True,Excellent,High,Moderate
23,Medium,False,Excellent,High,Moderate
24,Low,True,Good,High,Weak
25,Low,False,Poor,Moderate,Strong
26,Low,False,Poor,Moderate,Weak
27,Medium,False,Excellent,Low,Weak
28,High,False,Good,High,Weak
29,High,True,Excellent,High,Weak
30,High,False,Excellent,High,Strong
31,Low,False,Good,Low,Strong
32,High,True,Poor,High,Moderate
33,Low,True,Poor,Low,Moderate
34,Medium,False,Excellent,High,Moderate
35,Low,False,Excellent,Low,Moderate
36,High,False,Poor,Low,Weak
37,Low,False,Poor,Low,Strong
38,Medium,False,Excellent,Moderate,Strong
39,Low,True,Good,Low,Strong
40,High,False,Good,Moderate,Strong
41,High,False,Excellent,High,Moderate
42,High,True,Good,Moderate,Strong
43,Medium,True,Good,Moderate,Weak
44,Low,False,Good,High,Strong
45,Medium,True,Excellent,Low,Weak
46,Medium,True,Good,Low,Moderate
47,Low,True,Good,Moderate,Strong
48,Medium,False,Poor,High,Weak
49,Low,True,Poor,High,Moderate
50,High,True,Excellent,High,Moderate
51,Medium,True,Poor,High,Weak
52,Low,False,Good,High,Moderate
53,Medium,False,Good,Low,Strong
54,Medium,True,Excellent,Moderate,Weak
55,Low,False,Excellent,Moderate,Strong
56,Medium,True,Excellent,Moderate,Moderate
57,Low,True,Excellent,High,Strong
58,Medium,True,Good,Low,Moderate
59,High,True,Excellent,Moderate,Moderate
60,Medium,True,Good,Moderate,Moderate
61,High,True,Good,Moderate,Strong
62,High,False,Good,Moderate,Strong
63,Medium,True,Poor,Moderate,Strong
64,Medium,False,Poor,Moderate,Moderate
65,Low,False,Good,High,Weak
66,High,False,Poor,High,Moderate
67,High,True,Excellent,High,Weak
68,Medium,False,Excellent,Low,Moderate
69,High,True,Excellent,High,Strong
70,Low,True,Good,Low,Moderate
71,Low,True,Poor,Moderate,Moderate
72,Low,True,Poor,Moderate,Moderate
73,High,True,Good,Low,Weak
74,Medium,False,Excellent,Moderate,Weak
75,High,False,Excellent,Low,Weak
76,Medium,False,Good,Moderate,Weak
77,High,False,Good,High,Strong
78,High,False,Poor,Low,Strong
79,Medium,False,Excellent,High,Moderate
80,High,True,Good,Moderate,Strong
81,Low,True,Good,Moderate,Moderate
82,Medium,True,Excellent,Moderate,Moderate
83,High,False,Good,High,Weak
84,Medium,True,Poor,High,Strong
85,Medium,True,Good,Moderate,Moderate
86,Medium,True,Excellent,Low,Weak
87,High,False,Good,Low,Moderate
88,Medium,False,Good,Low,Strong
89,Medium,True,Good,Moderate,Strong
90,Medium,False,Good,Low,Moderate
91,High,True,Good,High,Weak
92,High,False,Excellent,High,Strong
93,High,True,Poor,Moderate,Moderate
94,High,False,Excellent,Low,Strong
95,High,False,Excellent,Moderate,Strong
96,Low,True,Good,Moderate,Strong
97,Low,True,Poor,High,Strong
98,Medium,True,Excellent,Moderate,Strong
99,Low,True,Excellent,Moderate,Weak
100,High,False,Excellent,Moderate,Moderate
101,Medium,True,Poor,Moderate,Strong
102,Low,True,Poor,Low,Moderate
103,High,True,Poor,High,Strong
104,Low,False,Excellent,Low,Strong
105,High,False,Poor,Low,Moderate
106,Medium,True,Good,Moderate,Moderate
107,Low,True,Poor,High,Moderate
108,High,True,Poor,Low,Moderate
109,High,True,Excellent,High,Moderate
110,Medium,True,Good,Low,Strong
111,Medium,False,Excellent,Low,Moderate
112,Medium,False,Poor,High,Weak
113,Low,True,Excellent,Moderate,Strong
114,Low,True,Good,Low,Strong
115,High,True,Good,Low,Strong
116,Low,True,Good,Moderate,Weak
117,Low,True,Excellent,Low,Strong
118,High,False,Good,High,Moderate
119,Low,False,Poor,High,Weak
120,Low,True,Excellent,Moderate,Strong
121,Medium,False,Excellent,Low,Strong
122,Low,True,Good,Moderate,Moderate
123,Low,False,Good,High,Strong
124,High,True,Excellent,Moderate,Moderate
125,Low,False,Good,Moderate,Weak
126,Medium,False,Good,Moderate,Weak
127,Low,True,Excellent,High,Moderate
128,Low,False,Poor,High,Moderate
129,Medium,False,Good,High,Weak
130,Medium,True,Excellent,Moderate,Weak
131,Low,True,Good,Moderate,Weak
132,Low,False,Poor,High,Moderate
133,Medium,True,Poor,Low,Moderate
134,Medium,True,Poor,Low,Strong
135,Medium,True,Excellent,High,Strong
136,High,True,Poor,Low,Weak
137,Low,False,Good,High,Moderate
138,Medium,True,Good,High,Weak
139,High,False,Poor,Low,Moderate
140,Medium,True,Excellent,High,Strong
141,Low,False,Good,Low,Weak
142,Low,True,Poor,Moderate,Strong
143,High,True,Good,High,Strong
144,Medium,True,Good,Moderate,Strong
145,Low,True,Excellent,Low,Strong
146,Low,False,Good,High,Moderate
147,Low,True,Good,Low,Weak
148,High,True,Poor,High,Strong
149,High,False,Good,High,Moderate
150,High,True,Excellent,Low,Moderate
151,Medium,True,Excellent,High,Strong
152,Medium,False,Poor,High,Moderate
153,Medium,False,Good,High,Strong
154,High,True,Excellent,High,Weak
155,Low,True,Poor,High,Weak
156,Low,False,Good,Low,Moderate
157,High,False,Good,High,Weak
158,Low,True,Poor,High,Moderate
159,High,True,Good,Moderate,Moderate
160,Low,False,Poor,Moderate,Strong
161,Low,True,Excellent,High,Weak
162,Low,True,Good,Moderate,Weak
163,Low,True,Excellent,Moderate,Moderate
164,High,True,Poor,High,Weak
165,High,False,Excellent,High,Weak
166,Medium,True,Good,Moderate,Strong
167,High,True,Poor,Low,Weak
168,Medium,True,Good,Low,Weak
169,High,True,Good,High,Strong
170,High,True,Poor,Low,Weak
171,Low,True,Excellent,Low,Moderate
172,Low,False,Good,High,Weak
173,High,True,Excellent,Moderate,Strong
174,High,True,Poor,Moderate,Strong
175,Medium,True,Poor,High,Weak
176,High,True,Poor,High,Weak
177,High,False,Poor,High,Strong
178,Medium,False,Excellent,Moderate,Moderate
179,Medium,False,Excellent,Moderate,Moderate
180,Low,False,Poor,Low,Moderate
181,Medium,True,Poor,Moderate,Weak
182,Medium,True,Poor,High,Moderate
183,Low,False,Poor,Moderate,Moderate
184,Medium,False,Excellent,Low,Moderate
185,High,False,Poor,Low,Strong
186,High,True,Poor,Moderate,Moderate
187,Low,False,Poor,Moderate,Moderate
188,Medium,False,Poor,Low,Weak
189,Low,False,Poor,High,Moderate
190,Low,True,Good,Low,Strong
191,High,True,Poor,Low,Strong
192,Low,False,Excellent,Low,Weak
193,Medium,True,Good,High,Moderate
194,Medium,True,Good,Low,Strong
195,Low,False,Good,Low,Strong
196,Medium,False,Excellent,High,Strong
197,High,True,Excellent,Low,Moderate
198,Low,True,Good,Moderate,Weak
199,Low,False,Good,Moderate,Moderate
200,High,False,Excellent,Low,Weak
201,High,True,Poor,Low,Moderate
202,Low,True,Poor,High,Moderate
203,High,True,Excellent,Low,Weak
204,Low,False,Poor,Moderate,Weak
205,Medium,False,Poor,Moderate,Moderate
206,Low,False,Excellent,Low,Strong
207,High,False,Good,Low,Weak
208,Medium,False,Excellent,Low,Weak
209,Medium,True,Good,Low,Moderate
210,Medium,False,Excellent,Low,Moderate
211,High,True,Good,Moderate,Moderate
212,Low,True,Good,High,Moderate
213,High,True,Excellent,Low,Strong
214,High,True,Excellent,Low,Strong
215,Medium,True,Poor,High,Strong
216,Medium,True,Poor,High,Moderate
217,Low,True,Poor,Moderate,Weak
218,Medium,True,Good,Moderate,Moderate
219,Low,False,Poor,Low,Weak
220,Low,False,Good,Moderate,Strong
221,Low,False,Poor,Low,Weak
222,High,True,Poor,Low,Moderate
223,Low,True,Excellent,Low,Moderate
224,Medium,False,Excellent,High,Moderate
225,High,False,Poor,Moderate,Weak
226,High,False,Excellent,High,Moderate
227,Medium,True,Poor,High,Strong
228,Low,False,Poor,Moderate,Moderate
229,High,True,Good,Low,Weak
230,Medium,True,Excellent,High,Strong
231,Low,True,Excellent,Moderate,Weak
232,High,True,Poor,Moderate,Weak
233,Low,True,Poor,Moderate,Moderate
234,Low,True,Poor,Moderate,Moderate
235,Medium,False,Excellent,Low,Weak
236,High,False,Poor,Low,Strong
237,High,True,Good,Low,Strong
238,High,True,Good,Moderate,Moderate
239,High,False,Excellent,High,Strong
240,High,True,Excellent,High,Moderate
241,High,False,Good,Low,Moderate
242,Low,False,Good,Low,Moderate
243,Medium,True,Excellent,Moderate,Strong
244,Low,True,Excellent,High,Weak
245,High,True,Excellent,High,Strong
246,Medium,True,Poor,Moderate,Strong
247,Low,False,Excellent,High,Strong
248,Low,False,Good,High,Weak
249,High,False,Excellent,Moderate,Moderate
250,Low,False,Poor,High,Weak
251,Low,False,Poor,High,Moderate
252,Medium,False,Poor,Moderate,Strong
253,High,False,Good,Low,Moderate
254,Low,True,Excellent,High,Strong
255,High,True,Poor,High,Strong
256,High,True,Good,High,Moderate
257,Medium,True,Good,High,Strong
258,High,False,Good,Low,Strong
259,Medium,False,Excellent,Moderate,Weak
260,Low,True,Poor,Low,Moderate
261,High,True,Poor,Low,Moderate
262,High,False,Good,Moderate,Strong
263,High,True,Good,Low,Strong
264,Low,True,Excellent,High,Weak
265,Low,True,Poor,Moderate,Weak
266,Medium,False,Excellent,Low,Weak
267,Medium,True,Poor,Moderate,Weak
268,Medium,False,Good,Moderate,Strong
269,High,True,Excellent,Low,Strong
270,Medium,False,Good,Moderate,Weak
271,Medium,True,Good,Moderate,Moderate
272,Low,False,Good,Low,Weak
273,Medium,True,Good,High,Strong
274,Low,True,Good,Low,Moderate
275,Medium,True,Poor,Low,Moderate
276,High,True,Good,Low,Strong
277,Medium,True,Good,Moderate,Moderate
278,Medium,True,Good,High,Moderate
279,High,False,Excellent,High,Moderate
280,Medium,True,Good,Moderate,Strong
281,Low,True,Poor,High,Moderate
282,Low,False,Good,Low,Moderate
283,Low,True,Excellent,Moderate,Weak
284,Low,True,Poor,High,Strong
285,High,True,Excellent,Low,Weak
286,High,False,Poor,Moderate,Moderate
287,Medium,False,Poor,High,Moderate
288,Low,True,Good,Moderate,Moderate
289,Medium,True,Poor,Moderate,Strong
290,Low,True,Good,High,Strong
291,Medium,True,Poor,High,Strong
292,Low,True,Excellent,Moderate,Weak
293,High,True,Good,Low,Weak
294,High,True,Poor,Moderate,Weak
295,Medium,True,Good,Moderate,Moderate
296,Medium,False,Good,Moderate,Strong
297,Low,False,Good,High,Weak
298,High,True,Excellent,Moderate,Weak
299,Medium,False,Excellent,Moderate,Strong
300,High,True,Excellent,Moderate,Weak
301,Low,False,Excellent,Low,Moderate
302,Low,True,Good,Moderate,Strong
303,Medium,False,Excellent,Low,Strong
304,High,False,Excellent,Moderate,Strong
305,Low,True,Excellent,High,Strong
306,Low,True,Poor,Low,Moderate
307,High,True,Good,High,Strong
308,High,False,Poor,Low,Strong
309,Medium,False,Excellent,High,Strong
310,Medium,True,Good,Low,Moderate
311,High,False,Poor,Low,Weak
312,Medium,False,Excellent,Low,Moderate
313,Medium,True,Poor,Moderate,Moderate
314,Medium,False,Poor,Low,Moderate
315,Medium,True,Good,Low,Strong
316,Medium,True,Poor,Moderate,Strong
317,Medium,False,Excellent,High,Moderate
318,Low,True,Excellent,Moderate,Moderate
319,Medium,True,Good,High,Moderate
320,Low,False,Excellent,Moderate,Moderate
321,Medium,True,Good,Low,Strong
322,High,False,Poor,Low,Moderate
323,High,True,Good,Low,Weak
324,High,True,Excellent,Low,Moderate
325,Medium,True,Excellent,Low,Weak
326,High,True,Good,Moderate,Moderate
327,High,True,Excellent,High,Strong
328,Medium,False,Good,Low,Moderate
329,High,True,Poor,High,Strong
330,High,True,Excellent,Moderate,Weak
331,Low,False,Poor,High,Moderate
332,High,False,Excellent,Low,Moderate
333,Medium,False,Excellent,Moderate,Strong
334,Medium,False,Good,Low,Moderate
335,Low,True,Excellent,Low,Strong
336,Medium,False,Poor,Low,Strong
337,Low,False,Poor,Moderate,Moderate
338,High,True,Excellent,High,Strong
339,High,False,Good,Low,Strong
340,Medium,False,Good,Moderate,Strong
341,Medium,False,Poor,High,Moderate
342,High,False,Good,High,Moderate
343,Low,True,Excellent,Low,Strong
344,Medium,True,Good,Low,Weak
345,Low,True,Excellent,High,Strong
346,High,True,Poor,High,Strong
347,Low,False,Excellent,Moderate,Strong
348,Medium,True,Excellent,Moderate,Strong
349,Low,False,Good,High,Weak
350,Medium,True,Poor,Low,Moderate
351,Medium,False,Poor,High,Moderate
352,Low,True,Poor,Moderate,Strong
353,Low,True,Good,Moderate,Weak
354,High,False,Good,Moderate,Weak
355,Low,False,Excellent,High,Weak
356,Medium,False,Good,Low,Weak
357,High,True,Excellent,Moderate,Strong
358,Low,False,Poor,High,Moderate
359,Low,True,Good,Low,Strong
360,High,True,Excellent,High,Weak
361,Low,False,Poor,Low,Weak
362,Low,False,Excellent,Low,Moderate
363,Medium,False,Good,Low,Strong
364,Medium,False,Poor,Low,Weak
365,High,True,Excellent,High,Weak
366,Low,True,Excellent,Low,Strong
367,Low,False,Excellent,Low,Strong
368,Low,False,Poor,High,Strong
369,Medium,False,Poor,High,Moderate
370,Medium,True,Poor,Moderate,Moderate
371,High,True,Poor,High,Strong
372,Low,False,Poor,Moderate,Moderate
373,High,True,Good,Low,Strong
374,Medium,False,Excellent,High,Strong
375,High,False,Poor,High,Weak
376,Low,True,Poor,Low,Moderate
377,High,False,Good,Moderate,Weak
378,Low,False,Poor,Low,Strong
379,High,False,Good,Moderate,Strong
380,Medium,True,Excellent,Low,Weak
381,High,False,Good,Moderate,Strong
382,Low,False,Good,High,Weak
383,Medium,False,Excellent,Low,Weak
384,Medium,False,Poor,Low,Weak
385,Low,True,Good,Low,Moderate
386,Medium,True,Poor,Moderate,Moderate
387,Low,False,Good,Moderate,Weak
388,High,False,Good,High,Strong
389,Medium,False,Good,Moderate,Strong
390,High,False,Excellent,Moderate,Strong
391,High,False,Good,High,Strong
392,Low,False,Poor,High,Strong
393,Low,True,Poor,High,Strong
394,Low,False,Poor,Low,Strong
395,Medium,False,Excellent,Low,Weak
396,High,False,Excellent,High,Moderate
397,High,True,Excellent,Low,Moderate
398,Low,False,Good,Moderate,Strong
399,Low,False,Poor,High,Weak
400,High,False,Excellent,High,Moderate
401,High,True,Poor,Moderate,Strong
402,Medium,False,Poor,Moderate,Weak
403,High,True,Poor,Moderate,Moderate
404,Medium,False,Good,Low,Weak
405,Low,True,Excellent,Low,Strong
406,Low,False,Good,Low,Moderate
407,High,False,Poor,High,Weak
408,Low,False,Poor,High,Weak
409,Medium,True,Excellent,Moderate,Moderate
410,Medium,True,Good,Low,Strong
411,Medium,False,Poor,Low,Weak
412,Low,False,Poor,Low,Weak
413,High,False,Good,Moderate,Weak
414,Low,True,Poor,Moderate,Moderate
415,Medium,True,Good,Moderate,Moderate
416,Low,False,Poor,High,Moderate
417,Medium,True,Excellent,High,Weak
418,Medium,True,Excellent,High,Moderate
419,Medium,True,Excellent,Moderate,Moderate
420,High,True,Excellent,High,Moderate
421,Medium,False,Excellent,Moderate,Weak
422,Low,False,Excellent,Low,Weak
423,Low,False,Good,Low,Strong
424,Low,False,Excellent,Moderate,Moderate
425,High,True,Good,Low,Moderate
426,High,True,Poor,Low,Weak
427,High,False,Excellent,High,Strong
428,Medium,True,Good,High,Strong
429,High,False,Good,Low,Moderate
430,High,False,Excellent,Moderate,Strong
431,Low,True,Good,Moderate,Moderate
432,Medium,False,Good,Moderate,Strong
433,Medium,True,Excellent,Moderate,Weak
434,High,False,Good,Moderate,Strong
435,High,True,Poor,Low,Weak
436,High,True,Excellent,Low,Moderate
437,High,False,Excellent,High,Strong
